trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
120_20251214,09:40:00,09:40:00,94_2006,0,,0,0,
120_20251214,09:44:00,09:45:00,94_39164,1,,0,0,
120_20251214,10:14:00,10:16:00,94_38000,2,,0,0,
120_20251214,10:41:00,10:43:00,94_36004,3,,0,0,
120_20251214,12:22:00,12:23:00,94_31039,4,,0,0,
120_20251214,12:30:00,12:30:00,94_30007,5,,0,0,
121_20251214,08:00:00,08:00:00,94_30007,0,,0,0,
121_20251214,08:08:00,08:09:30,94_31039,1,,0,0,
121_20251214,08:39:30,08:40:30,94_32185,2,,0,0,
121_20251214,08:57:00,08:58:00,94_34009,3,,0,0,
121_20251214,09:26:00,09:27:00,94_34645,4,,0,0,
121_20251214,09:51:00,09:53:00,94_36004,5,,0,0,
121_20251214,10:18:30,10:20:30,94_38000,6,,0,0,
121_20251214,10:39:30,10:40:30,94_39008,7,,0,0,
121_20251214,10:49:00,10:50:00,94_39164,8,,0,0,
121_20251214,10:55:00,10:55:00,94_2006,9,,0,0,
122_20251214,11:40:00,11:40:00,94_2006,0,,0,0,
122_20251214,11:44:00,11:45:00,94_39164,1,,0,0,
122_20251214,12:14:00,12:16:00,94_38000,2,,0,0,
122_20251214,12:41:00,12:43:00,94_36004,3,,0,0,
122_20251214,14:22:00,14:23:00,94_31039,4,,0,0,
122_20251214,14:30:00,14:30:00,94_30007,5,,0,0,
123_20251214,09:00:00,09:00:00,94_30007,0,,0,0,
123_20251214,09:08:00,09:09:30,94_31039,1,,0,0,
123_20251214,10:45:30,10:47:30,94_36004,2,,0,0,
123_20251214,11:13:00,11:15:00,94_38000,3,,0,0,
123_20251214,11:42:30,11:43:30,94_39164,4,,0,0,
123_20251214,11:48:00,11:48:00,94_2006,5,,0,0,
124_20251214,16:40:00,16:40:00,94_2006,0,,0,0,
124_20251214,16:44:00,16:45:00,94_39164,1,,0,0,
124_20251214,17:14:00,17:16:00,94_38000,2,,0,0,
124_20251214,17:41:00,17:43:00,94_36004,3,,0,0,
124_20251214,19:22:00,19:23:00,94_31039,4,,0,0,
124_20251214,19:30:00,19:30:00,94_30007,5,,0,0,
125_20251214,12:00:00,12:00:00,94_30007,0,,0,0,
125_20251214,12:08:00,12:09:30,94_31039,1,,0,0,
125_20251214,13:45:30,13:47:30,94_36004,2,,0,0,
125_20251214,14:13:00,14:15:00,94_38000,3,,0,0,
125_20251214,14:42:30,14:43:30,94_39164,4,,0,0,
125_20251214,14:48:00,14:48:00,94_2006,5,,0,0,
126_20251214,17:40:00,17:40:00,94_2006,0,,0,0,
126_20251214,17:44:00,17:45:00,94_39164,1,,0,0,
126_20251214,17:53:30,17:54:30,94_39008,2,,0,0,
126_20251214,18:16:30,18:17:30,94_38000,3,,0,0,
126_20251214,18:42:30,18:43:30,94_36004,4,,0,0,
126_20251214,19:08:30,19:09:30,94_34645,5,,0,0,
126_20251214,19:39:00,19:40:00,94_34009,6,,0,0,
126_20251214,19:57:00,19:58:00,94_32185,7,,0,0,
126_20251214,20:32:00,20:33:00,94_31039,8,,0,0,
126_20251214,20:40:00,20:40:00,94_30007,9,,0,0,
127_20251214,17:00:00,17:00:00,94_30007,0,,0,0,
127_20251214,17:08:00,17:09:30,94_31039,1,,0,0,
127_20251214,18:45:30,18:47:30,94_36004,2,,0,0,
127_20251214,19:13:00,19:15:00,94_38000,3,,0,0,
127_20251214,19:42:30,19:43:30,94_39164,4,,0,0,
127_20251214,19:48:00,19:48:00,94_2006,5,,0,0,
128_20251214,07:40:00,07:40:00,94_2006,0,,0,0,
128_20251214,07:44:00,07:45:00,94_39164,1,,0,0,
128_20251214,08:14:00,08:16:00,94_38000,2,,0,0,
128_20251214,08:41:00,08:43:00,94_36004,3,,0,0,
128_20251214,10:22:00,10:23:00,94_31039,4,,0,0,
128_20251214,10:30:00,10:30:00,94_30007,5,,0,0,
128_20251226,07:40:00,07:40:00,94_2006,0,,0,0,
128_20251226,07:44:00,07:45:00,94_39164,1,,0,0,
128_20251226,08:14:00,08:16:00,94_38000,2,,0,0,
128_20251226,08:41:00,08:43:00,94_36004,3,,0,0,
128_20251226,10:22:00,10:23:00,94_31039,4,,0,0,
128_20251226,10:30:00,10:30:00,94_30007,5,,0,0,
128_20260102,07:40:00,07:40:00,94_2006,0,,0,0,
128_20260102,07:44:00,07:45:00,94_39164,1,,0,0,
128_20260102,08:14:00,08:16:00,94_38000,2,,0,0,
128_20260102,08:41:00,08:43:00,94_36004,3,,0,0,
128_20260102,10:22:00,10:23:00,94_31039,4,,0,0,
128_20260102,10:30:00,10:30:00,94_30007,5,,0,0,
129_20251214,20:00:00,20:00:00,94_30007,0,,0,0,
129_20251214,20:08:00,20:09:30,94_31039,1,,0,0,
129_20251214,21:45:30,21:47:30,94_36004,2,,0,0,
129_20251214,22:13:00,22:15:00,94_38000,3,,0,0,
129_20251214,22:42:30,22:43:30,94_39164,4,,0,0,
129_20251214,22:48:00,22:48:00,94_2006,5,,0,0,
129_20251225,20:00:00,20:00:00,94_30007,0,,0,0,
129_20251225,20:08:00,20:09:30,94_31039,1,,0,0,
129_20251225,21:45:30,21:47:30,94_36004,2,,0,0,
129_20251225,22:13:00,22:15:00,94_38000,3,,0,0,
129_20251225,22:42:30,22:43:30,94_39164,4,,0,0,
129_20251225,22:48:00,22:48:00,94_2006,5,,0,0,
129_20260101,20:00:00,20:00:00,94_30007,0,,0,0,
129_20260101,20:08:00,20:09:30,94_31039,1,,0,0,
129_20260101,21:45:30,21:47:30,94_36004,2,,0,0,
129_20260101,22:13:00,22:15:00,94_38000,3,,0,0,
129_20260101,22:42:30,22:43:30,94_39164,4,,0,0,
129_20260101,22:48:00,22:48:00,94_2006,5,,0,0,
130_20251214,06:00:00,06:00:00,94_29157,0,,0,0,
130_20251214,06:09:00,06:10:00,94_6007,1,,0,0,
130_20251214,06:14:30,06:15:30,94_5074,2,,0,0,
130_20251214,06:38:00,06:40:00,94_2006,3,,0,0,
130_20251214,06:44:00,06:45:00,94_39164,4,,0,0,
130_20251214,07:14:00,07:16:00,94_38000,5,,0,0,
130_20251214,07:41:00,07:43:00,94_36004,6,,0,0,
130_20251214,09:22:00,09:23:00,94_31039,7,,0,0,
130_20251214,09:30:00,09:30:00,94_30007,8,,0,0,
130_20251226,06:00:00,06:00:00,94_29157,0,,0,0,
130_20251226,06:09:00,06:10:00,94_6007,1,,0,0,
130_20251226,06:14:30,06:15:30,94_5074,2,,0,0,
130_20251226,06:38:00,06:40:00,94_2006,3,,0,0,
130_20251226,06:44:00,06:45:00,94_39164,4,,0,0,
130_20251226,07:14:00,07:16:00,94_38000,5,,0,0,
130_20251226,07:41:00,07:43:00,94_36004,6,,0,0,
130_20251226,09:22:00,09:23:00,94_31039,7,,0,0,
130_20251226,09:30:00,09:30:00,94_30007,8,,0,0,
130_20260102,06:00:00,06:00:00,94_29157,0,,0,0,
130_20260102,06:09:00,06:10:00,94_6007,1,,0,0,
130_20260102,06:14:30,06:15:30,94_5074,2,,0,0,
130_20260102,06:38:00,06:40:00,94_2006,3,,0,0,
130_20260102,06:44:00,06:45:00,94_39164,4,,0,0,
130_20260102,07:14:00,07:16:00,94_38000,5,,0,0,
130_20260102,07:41:00,07:43:00,94_36004,6,,0,0,
130_20260102,09:22:00,09:23:00,94_31039,7,,0,0,
130_20260102,09:30:00,09:30:00,94_30007,8,,0,0,
131_20251214,07:00:00,07:00:00,94_30007,0,,0,0,
131_20251214,07:08:00,07:09:30,94_31039,1,,0,0,
131_20251214,08:45:30,08:47:30,94_36004,2,,0,0,
131_20251214,09:13:00,09:15:00,94_38000,3,,0,0,
131_20251214,09:42:30,09:43:30,94_39164,4,,0,0,
131_20251214,09:48:00,09:50:00,94_2006,5,,0,0,
131_20251214,10:12:00,10:13:00,94_5074,6,,0,0,
131_20251214,10:17:30,10:18:30,94_6007,7,,0,0,
131_20251214,10:29:00,10:29:00,94_29157,8,,0,0,
131_20251226,07:00:00,07:00:00,94_30007,0,,0,0,
131_20251226,07:08:00,07:09:30,94_31039,1,,0,0,
131_20251226,08:45:30,08:47:30,94_36004,2,,0,0,
131_20251226,09:13:00,09:15:00,94_38000,3,,0,0,
131_20251226,09:42:30,09:43:30,94_39164,4,,0,0,
131_20251226,09:48:00,09:50:00,94_2006,5,,0,0,
131_20251226,10:12:00,10:13:00,94_5074,6,,0,0,
131_20251226,10:17:30,10:18:30,94_6007,7,,0,0,
131_20251226,10:29:00,10:29:00,94_29157,8,,0,0,
131_20260102,07:00:00,07:00:00,94_30007,0,,0,0,
131_20260102,07:08:00,07:09:30,94_31039,1,,0,0,
131_20260102,08:45:30,08:47:30,94_36004,2,,0,0,
131_20260102,09:13:00,09:15:00,94_38000,3,,0,0,
131_20260102,09:42:30,09:43:30,94_39164,4,,0,0,
131_20260102,09:48:00,09:50:00,94_2006,5,,0,0,
131_20260102,10:12:00,10:13:00,94_5074,6,,0,0,
131_20260102,10:17:30,10:18:30,94_6007,7,,0,0,
131_20260102,10:29:00,10:29:00,94_29157,8,,0,0,
132_20251214,13:00:00,13:00:00,94_29157,0,,0,0,
132_20251214,13:09:00,13:10:00,94_6007,1,,0,0,
132_20251214,13:14:30,13:15:30,94_5074,2,,0,0,
132_20251214,13:38:00,13:40:00,94_2006,3,,0,0,
132_20251214,13:44:00,13:45:00,94_39164,4,,0,0,
132_20251214,14:14:00,14:16:00,94_38000,5,,0,0,
132_20251214,14:41:00,14:43:00,94_36004,6,,0,0,
132_20251214,16:22:00,16:23:00,94_31039,7,,0,0,
132_20251214,16:30:00,16:30:00,94_30007,8,,0,0,
133_20251214,14:00:00,14:00:00,94_30007,0,,0,0,
133_20251214,14:08:00,14:09:30,94_31039,1,,0,0,
133_20251214,15:45:30,15:47:30,94_36004,2,,0,0,
133_20251214,16:13:00,16:15:00,94_38000,3,,0,0,
133_20251214,16:42:30,16:43:30,94_39164,4,,0,0,
133_20251214,16:48:00,16:50:00,94_2006,5,,0,0,
133_20251214,17:12:00,17:13:00,94_5074,6,,0,0,
133_20251214,17:17:30,17:18:30,94_6007,7,,0,0,
133_20251214,17:29:00,17:29:00,94_29157,8,,0,0,
134_20251214,18:00:00,18:00:00,94_29157,0,,0,0,
134_20251214,18:09:00,18:10:00,94_6007,1,,0,0,
134_20251214,18:14:30,18:15:30,94_5074,2,,0,0,
134_20251214,18:38:00,18:40:00,94_2006,3,,0,0,
134_20251214,18:44:00,18:45:00,94_39164,4,,0,0,
134_20251214,19:14:00,19:16:00,94_38000,5,,0,0,
134_20251214,19:41:00,19:43:00,94_36004,6,,0,0,
134_20251214,21:22:00,21:23:00,94_31039,7,,0,0,
134_20251214,21:30:00,21:30:00,94_30007,8,,0,0,
135_20251214,16:00:00,16:00:00,94_30007,0,,0,0,
135_20251214,16:08:00,16:09:30,94_31039,1,,0,0,
135_20251214,17:45:30,17:47:30,94_36004,2,,0,0,
135_20251214,18:13:00,18:15:00,94_38000,3,,0,0,
135_20251214,18:42:30,18:43:30,94_39164,4,,0,0,
135_20251214,18:48:00,18:50:00,94_2006,5,,0,0,
135_20251214,19:12:00,19:13:00,94_5074,6,,0,0,
135_20251214,19:17:30,19:18:30,94_6007,7,,0,0,
135_20251214,19:29:00,19:29:00,94_29157,8,,0,0,
136_20251214,20:00:00,20:00:00,94_29157,0,,0,0,
136_20251214,20:09:00,20:10:00,94_6007,1,,0,0,
136_20251214,20:14:30,20:15:30,94_5074,2,,0,0,
136_20251214,20:38:00,20:40:00,94_2006,3,,0,0,
136_20251214,20:44:00,20:45:00,94_39164,4,,0,0,
136_20251214,21:14:00,21:16:00,94_38000,5,,0,0,
136_20251214,21:41:00,21:43:00,94_36004,6,,0,0,
136_20251214,23:22:00,23:23:00,94_31039,7,,0,0,
136_20251214,23:30:00,23:30:00,94_30007,8,,0,0,
136_20251225,20:00:00,20:00:00,94_29157,0,,0,0,
136_20251225,20:09:00,20:10:00,94_6007,1,,0,0,
136_20251225,20:14:30,20:15:30,94_5074,2,,0,0,
136_20251225,20:38:00,20:40:00,94_2006,3,,0,0,
136_20251225,20:44:00,20:45:00,94_39164,4,,0,0,
136_20251225,21:14:00,21:16:00,94_38000,5,,0,0,
136_20251225,21:41:00,21:43:00,94_36004,6,,0,0,
136_20251225,23:22:00,23:23:00,94_31039,7,,0,0,
136_20251225,23:30:00,23:30:00,94_30007,8,,0,0,
136_20260101,20:00:00,20:00:00,94_29157,0,,0,0,
136_20260101,20:09:00,20:10:00,94_6007,1,,0,0,
136_20260101,20:14:30,20:15:30,94_5074,2,,0,0,
136_20260101,20:38:00,20:40:00,94_2006,3,,0,0,
136_20260101,20:44:00,20:45:00,94_39164,4,,0,0,
136_20260101,21:14:00,21:16:00,94_38000,5,,0,0,
136_20260101,21:41:00,21:43:00,94_36004,6,,0,0,
136_20260101,23:22:00,23:23:00,94_31039,7,,0,0,
136_20260101,23:30:00,23:30:00,94_30007,8,,0,0,
137_20251214,18:00:00,18:00:00,94_30007,0,,0,0,
137_20251214,18:08:00,18:09:30,94_31039,1,,0,0,
137_20251214,19:45:30,19:47:30,94_36004,2,,0,0,
137_20251214,20:13:00,20:15:00,94_38000,3,,0,0,
137_20251214,20:42:30,20:43:30,94_39164,4,,0,0,
137_20251214,20:48:00,20:50:00,94_2006,5,,0,0,
137_20251214,21:12:00,21:13:00,94_5074,6,,0,0,
137_20251214,21:17:30,21:18:30,94_6007,7,,0,0,
137_20251214,21:29:00,21:29:00,94_29157,8,,0,0,
137_20251225,18:00:00,18:00:00,94_30007,0,,0,0,
137_20251225,18:08:00,18:09:30,94_31039,1,,0,0,
137_20251225,19:45:30,19:47:30,94_36004,2,,0,0,
137_20251225,20:13:00,20:15:00,94_38000,3,,0,0,
137_20251225,20:42:30,20:43:30,94_39164,4,,0,0,
137_20251225,20:48:00,20:50:00,94_2006,5,,0,0,
137_20251225,21:12:00,21:13:00,94_5074,6,,0,0,
137_20251225,21:17:30,21:18:30,94_6007,7,,0,0,
137_20251225,21:29:00,21:29:00,94_29157,8,,0,0,
137_20260101,18:00:00,18:00:00,94_30007,0,,0,0,
137_20260101,18:08:00,18:09:30,94_31039,1,,0,0,
137_20260101,19:45:30,19:47:30,94_36004,2,,0,0,
137_20260101,20:13:00,20:15:00,94_38000,3,,0,0,
137_20260101,20:42:30,20:43:30,94_39164,4,,0,0,
137_20260101,20:48:00,20:50:00,94_2006,5,,0,0,
137_20260101,21:12:00,21:13:00,94_5074,6,,0,0,
137_20260101,21:17:30,21:18:30,94_6007,7,,0,0,
137_20260101,21:29:00,21:29:00,94_29157,8,,0,0,
180_20251214,05:40:00,05:40:00,94_2006,0,,0,0,
180_20251214,05:44:00,05:45:00,94_39164,1,,0,0,
180_20251214,06:14:00,06:16:00,94_38000,2,,0,0,
180_20251214,06:41:00,06:43:00,94_36004,3,,0,0,
180_20251214,08:22:00,08:23:30,94_31039,4,,0,0,
180_20251214,08:30:30,08:31:30,94_66050,5,,0,0,
180_20251214,09:05:30,09:06:30,94_68007,6,,0,0,
180_20251214,10:52:30,10:54:30,94_78006,7,,0,0,
180_20251214,10:59:00,11:01:00,94_78063,8,,0,0,
180_20251214,11:11:30,11:13:30,94_78238,9,,0,0,
180_20251214,11:23:00,11:23:00,94_73007,10,,0,0,
180_20251226,05:40:00,05:40:00,94_2006,0,,0,0,
180_20251226,05:44:00,05:45:00,94_39164,1,,0,0,
180_20251226,06:14:00,06:16:00,94_38000,2,,0,0,
180_20251226,06:41:00,06:43:00,94_36004,3,,0,0,
180_20251226,08:22:00,08:23:30,94_31039,4,,0,0,
180_20251226,08:30:30,08:31:30,94_66050,5,,0,0,
180_20251226,09:05:30,09:06:30,94_68007,6,,0,0,
180_20251226,10:52:30,10:54:30,94_78006,7,,0,0,
180_20251226,10:59:00,11:01:00,94_78063,8,,0,0,
180_20251226,11:11:30,11:13:30,94_78238,9,,0,0,
180_20251226,11:23:00,11:23:00,94_73007,10,,0,0,
180_20260102,05:40:00,05:40:00,94_2006,0,,0,0,
180_20260102,05:44:00,05:45:00,94_39164,1,,0,0,
180_20260102,06:14:00,06:16:00,94_38000,2,,0,0,
180_20260102,06:41:00,06:43:00,94_36004,3,,0,0,
180_20260102,08:22:00,08:23:30,94_31039,4,,0,0,
180_20260102,08:30:30,08:31:30,94_66050,5,,0,0,
180_20260102,09:05:30,09:06:30,94_68007,6,,0,0,
180_20260102,10:52:30,10:54:30,94_78006,7,,0,0,
180_20260102,10:59:00,11:01:00,94_78063,8,,0,0,
180_20260102,11:11:30,11:13:30,94_78238,9,,0,0,
180_20260102,11:23:00,11:23:00,94_73007,10,,0,0,
182_20251215,07:00:00,07:00:00,94_73007,0,,0,0,
182_20251215,07:09:00,07:10:30,94_78238,1,,0,0,
182_20251215,07:21:00,07:23:00,94_78063,2,,0,0,
182_20251215,07:27:00,07:29:00,94_78006,3,,0,0,
182_20251215,07:57:30,07:58:00,94_77388,4,,0,0,
182_20251215,08:21:00,08:21:30,94_77008,5,,0,0,
182_20251215,08:39:30,08:40:00,94_93005,6,,0,0,
182_20251215,08:54:30,08:55:00,94_92577,7,,0,0,
182_20251215,09:22:30,09:23:30,94_68007,8,,0,0,
182_20251215,09:56:30,09:57:30,94_66050,9,,0,0,
182_20251215,10:05:00,10:09:30,94_31039,10,,0,0,
182_20251215,11:45:30,11:47:30,94_36004,11,,0,0,
182_20251215,12:13:00,12:15:00,94_38000,12,,0,0,
182_20251215,12:42:30,12:43:30,94_39164,13,,0,0,
182_20251215,12:48:00,12:48:00,94_2006,14,,0,0,
182_20251226,07:00:00,07:00:00,94_73007,0,,0,0,
182_20251226,07:09:00,07:10:30,94_78238,1,,0,0,
182_20251226,07:21:00,07:23:00,94_78063,2,,0,0,
182_20251226,07:27:00,07:29:00,94_78006,3,,0,0,
182_20251226,07:57:30,07:58:00,94_77388,4,,0,0,
182_20251226,08:21:00,08:21:30,94_77008,5,,0,0,
182_20251226,08:39:30,08:40:00,94_93005,6,,0,0,
182_20251226,08:54:30,08:55:00,94_92577,7,,0,0,
182_20251226,09:22:30,09:23:30,94_68007,8,,0,0,
182_20251226,09:56:30,09:57:30,94_66050,9,,0,0,
182_20251226,10:05:00,10:09:30,94_31039,10,,0,0,
182_20251226,11:45:30,11:47:30,94_36004,11,,0,0,
182_20251226,12:13:00,12:15:00,94_38000,12,,0,0,
182_20251226,12:42:30,12:43:30,94_39164,13,,0,0,
182_20251226,12:48:00,12:48:00,94_2006,14,,0,0,
182_20260102,07:00:00,07:00:00,94_73007,0,,0,0,
182_20260102,07:09:00,07:10:30,94_78238,1,,0,0,
182_20260102,07:21:00,07:23:00,94_78063,2,,0,0,
182_20260102,07:27:00,07:29:00,94_78006,3,,0,0,
182_20260102,07:57:30,07:58:00,94_77388,4,,0,0,
182_20260102,08:21:00,08:21:30,94_77008,5,,0,0,
182_20260102,08:39:30,08:40:00,94_93005,6,,0,0,
182_20260102,08:54:30,08:55:00,94_92577,7,,0,0,
182_20260102,09:22:30,09:23:30,94_68007,8,,0,0,
182_20260102,09:56:30,09:57:30,94_66050,9,,0,0,
182_20260102,10:05:00,10:09:30,94_31039,10,,0,0,
182_20260102,11:45:30,11:47:30,94_36004,11,,0,0,
182_20260102,12:13:00,12:15:00,94_38000,12,,0,0,
182_20260102,12:42:30,12:43:30,94_39164,13,,0,0,
182_20260102,12:48:00,12:48:00,94_2006,14,,0,0,
184_20251214,14:40:00,14:40:00,94_2006,0,,0,0,
184_20251214,14:44:00,14:45:00,94_39164,1,,0,0,
184_20251214,15:14:00,15:16:00,94_38000,2,,0,0,
184_20251214,15:41:00,15:43:00,94_36004,3,,0,0,
184_20251214,17:22:00,17:23:30,94_31039,4,,0,0,
184_20251214,17:30:30,17:31:30,94_66050,5,,0,0,
184_20251214,18:05:30,18:06:30,94_68007,6,,0,0,
184_20251214,19:53:00,19:55:00,94_78006,7,,0,0,
184_20251214,20:00:00,20:02:00,94_78063,8,,0,0,
184_20251214,20:12:30,20:14:30,94_78238,9,,0,0,
184_20251214,20:23:00,20:23:00,94_73007,10,,0,0,
184_20251224,17:23:30,17:23:30,94_31039,0,,0,0,
184_20251224,17:30:30,17:31:30,94_66050,1,,0,0,
184_20251224,18:05:30,18:06:30,94_68007,2,,0,0,
184_20251224,19:53:00,19:55:00,94_78006,3,,0,0,
184_20251224,20:00:00,20:02:00,94_78063,4,,0,0,
184_20251224,20:12:30,20:14:30,94_78238,5,,0,0,
184_20251224,20:23:00,20:23:00,94_73007,6,,0,0,
184_20251225,14:40:00,14:40:00,94_2006,0,,0,0,
184_20251225,14:44:00,14:45:00,94_39164,1,,0,0,
184_20251225,15:14:00,15:16:00,94_38000,2,,0,0,
184_20251225,15:41:00,15:43:00,94_36004,3,,0,0,
184_20251225,17:22:00,17:23:30,94_31039,4,,0,0,
184_20251225,17:30:30,17:31:30,94_66050,5,,0,0,
184_20251225,18:05:30,18:06:30,94_68007,6,,0,0,
184_20251225,19:53:00,19:55:00,94_78006,7,,0,0,
184_20251225,20:00:00,20:02:00,94_78063,8,,0,0,
184_20251225,20:12:30,20:14:30,94_78238,9,,0,0,
184_20251225,20:23:00,20:23:00,94_73007,10,,0,0,
184_20251231,17:23:30,17:23:30,94_31039,0,,0,0,
184_20251231,17:30:30,17:31:30,94_66050,1,,0,0,
184_20251231,18:05:30,18:06:30,94_68007,2,,0,0,
184_20251231,19:53:00,19:55:00,94_78006,3,,0,0,
184_20251231,20:00:00,20:02:00,94_78063,4,,0,0,
184_20251231,20:12:30,20:14:30,94_78238,5,,0,0,
184_20251231,20:23:00,20:23:00,94_73007,6,,0,0,
184_20260101,14:40:00,14:40:00,94_2006,0,,0,0,
184_20260101,14:44:00,14:45:00,94_39164,1,,0,0,
184_20260101,15:14:00,15:16:00,94_38000,2,,0,0,
184_20260101,15:41:00,15:43:00,94_36004,3,,0,0,
184_20260101,17:22:00,17:23:30,94_31039,4,,0,0,
184_20260101,17:30:30,17:31:30,94_66050,5,,0,0,
184_20260101,18:05:30,18:06:30,94_68007,6,,0,0,
184_20260101,19:53:00,19:55:00,94_78006,7,,0,0,
184_20260101,20:00:00,20:02:00,94_78063,8,,0,0,
184_20260101,20:12:30,20:14:30,94_78238,9,,0,0,
184_20260101,20:23:00,20:23:00,94_73007,10,,0,0,
186_20251214,16:00:00,16:00:00,94_73007,0,,0,0,
186_20251214,16:09:30,16:11:30,94_78238,1,,0,0,
186_20251214,16:22:00,16:24:00,94_78063,2,,0,0,
186_20251214,16:28:00,16:30:00,94_78006,3,,0,0,
186_20251214,18:22:30,18:23:30,94_68007,4,,0,0,
186_20251214,18:56:30,18:57:30,94_66050,5,,0,0,
186_20251214,19:05:00,19:09:30,94_31039,6,,0,0,
186_20251214,20:45:30,20:47:30,94_36004,7,,0,0,
186_20251214,21:13:00,21:15:00,94_38000,8,,0,0,
186_20251214,21:42:30,21:43:30,94_39164,9,,0,0,
186_20251214,21:48:00,21:48:00,94_2006,10,,0,0,
186_20251224,16:00:00,16:00:00,94_73007,0,,0,0,
186_20251224,16:09:30,16:11:30,94_78238,1,,0,0,
186_20251224,16:22:00,16:24:00,94_78063,2,,0,0,
186_20251224,16:28:00,16:30:00,94_78006,3,,0,0,
186_20251224,18:22:30,18:23:30,94_68007,4,,0,0,
186_20251224,18:56:30,18:57:30,94_66050,5,,0,0,
186_20251224,19:05:00,19:05:00,94_31039,6,,0,0,
186_20251225,16:00:00,16:00:00,94_73007,0,,0,0,
186_20251225,16:09:30,16:11:30,94_78238,1,,0,0,
186_20251225,16:22:00,16:24:00,94_78063,2,,0,0,
186_20251225,16:28:00,16:30:00,94_78006,3,,0,0,
186_20251225,18:22:30,18:23:30,94_68007,4,,0,0,
186_20251225,18:56:30,18:57:30,94_66050,5,,0,0,
186_20251225,19:05:00,19:09:30,94_31039,6,,0,0,
186_20251225,20:45:30,20:47:30,94_36004,7,,0,0,
186_20251225,21:13:00,21:15:00,94_38000,8,,0,0,
186_20251225,21:42:30,21:43:30,94_39164,9,,0,0,
186_20251225,21:48:00,21:48:00,94_2006,10,,0,0,
186_20251231,16:00:00,16:00:00,94_73007,0,,0,0,
186_20251231,16:09:30,16:11:30,94_78238,1,,0,0,
186_20251231,16:22:00,16:24:00,94_78063,2,,0,0,
186_20251231,16:28:00,16:30:00,94_78006,3,,0,0,
186_20251231,18:22:30,18:23:30,94_68007,4,,0,0,
186_20251231,18:56:30,18:57:30,94_66050,5,,0,0,
186_20251231,19:05:00,19:05:00,94_31039,6,,0,0,
186_20260101,16:00:00,16:00:00,94_73007,0,,0,0,
186_20260101,16:09:30,16:11:30,94_78238,1,,0,0,
186_20260101,16:22:00,16:24:00,94_78063,2,,0,0,
186_20260101,16:28:00,16:30:00,94_78006,3,,0,0,
186_20260101,18:22:30,18:23:30,94_68007,4,,0,0,
186_20260101,18:56:30,18:57:30,94_66050,5,,0,0,
186_20260101,19:05:00,19:09:30,94_31039,6,,0,0,
186_20260101,20:45:30,20:47:30,94_36004,7,,0,0,
186_20260101,21:13:00,21:15:00,94_38000,8,,0,0,
186_20260101,21:42:30,21:43:30,94_39164,9,,0,0,
186_20260101,21:48:00,21:48:00,94_2006,10,,0,0,
481_20251214,09:06:00,09:06:00,94_34009,0,,0,0,
481_20251214,09:11:00,09:11:30,94_51045,1,,0,0,
481_20251214,09:16:30,09:17:00,94_51102,2,,0,0,
481_20251214,09:20:00,09:20:30,94_51128,3,,0,0,
481_20251214,09:25:30,09:26:00,94_51185,4,,0,0,
481_20251214,09:32:00,09:32:30,94_51243,5,,0,0,
481_20251214,09:37:30,09:38:30,94_52001,6,,0,0,
481_20251214,09:48:30,09:49:00,94_55129,7,,0,0,
481_20251214,10:03:30,10:04:00,94_55293,8,,0,0,
481_20251214,10:13:30,10:14:00,94_56002,9,,0,0,
481_20251214,10:23:30,10:24:00,94_56101,10,,0,0,
481_20251214,10:37:30,10:38:00,94_56267,11,,0,0,
481_20251214,10:55:00,10:56:00,94_57000,12,,0,0,
481_20251214,11:05:30,11:06:00,94_57117,13,,0,0,
481_20251214,11:12:00,11:12:30,94_57174,14,,0,0,
481_20251214,11:22:30,11:23:00,94_57315,15,,0,0,
481_20251214,11:39:00,11:40:00,94_57497,16,,0,0,
481_20251226,09:06:00,09:06:00,94_34009,0,,0,0,
481_20251226,09:11:00,09:11:30,94_51045,1,,0,0,
481_20251226,09:16:30,09:17:00,94_51102,2,,0,0,
481_20251226,09:20:00,09:20:30,94_51128,3,,0,0,
481_20251226,09:25:30,09:26:00,94_51185,4,,0,0,
481_20251226,09:32:00,09:32:30,94_51243,5,,0,0,
481_20251226,09:37:30,09:38:30,94_52001,6,,0,0,
481_20251226,09:48:30,09:49:00,94_55129,7,,0,0,
481_20251226,10:03:30,10:04:00,94_55293,8,,0,0,
481_20251226,10:13:30,10:14:00,94_56002,9,,0,0,
481_20251226,10:23:30,10:24:00,94_56101,10,,0,0,
481_20251226,10:37:30,10:38:00,94_56267,11,,0,0,
481_20251226,10:55:00,10:56:00,94_57000,12,,0,0,
481_20251226,11:05:30,11:06:00,94_57117,13,,0,0,
481_20251226,11:12:00,11:12:30,94_57174,14,,0,0,
481_20251226,11:22:30,11:23:00,94_57315,15,,0,0,
481_20251226,11:39:00,11:40:00,94_57497,16,,0,0,
481_20260102,09:06:00,09:06:00,94_34009,0,,0,0,
481_20260102,09:11:00,09:11:30,94_51045,1,,0,0,
481_20260102,09:16:30,09:17:00,94_51102,2,,0,0,
481_20260102,09:20:00,09:20:30,94_51128,3,,0,0,
481_20260102,09:25:30,09:26:00,94_51185,4,,0,0,
481_20260102,09:32:00,09:32:30,94_51243,5,,0,0,
481_20260102,09:37:30,09:38:30,94_52001,6,,0,0,
